Fitting statistics for a 2D DOSY experiment  
Pure exponential fitting (Stejskal-Tanner equation)  
Monoexpoential fitting  


*******Fit Summary*******
Frequency   Exp. Ampl   Fit. Ampl1  error       Diff coef1  error       
-0.95410    0.00006     0.00005     0.00000     117.04198   25.96641    
-0.94969    0.00005     0.00005     0.00000     120.93762   26.69153    
-0.94548    0.00006     0.00005     0.00001     109.25518   25.52871    
-0.94236    0.00005     0.00005     0.00001     110.16386   30.43883    
-0.93759    0.00005     0.00005     0.00000     147.65957   23.07401    
-0.93521    0.00005     0.00005     0.00000     102.98240   19.97316    
-0.93154    0.00006     0.00005     0.00001     116.58756   27.86897    
-0.92586    0.00006     0.00004     0.00001     100.49215   33.57597    
-0.91761    0.00006     0.00005     0.00001     111.75036   31.35577    
-0.91376    0.00006     0.00005     0.00001     112.88926   28.47062    
-0.91137    0.00005     0.00005     0.00001     116.95898   29.61584    
-0.90991    0.00005     0.00005     0.00000     110.72410   20.86876    
-0.90826    0.00005     0.00005     0.00000     105.97776   18.70129    
-0.90459    0.00005     0.00004     0.00001     99.67435    32.25549    
-0.90221    0.00005     0.00005     0.00000     126.32079   20.26843    
-0.89964    0.00005     0.00005     0.00001     87.18079    22.02526    
-0.89781    0.00005     0.00005     0.00000     107.14733   26.72444    
-0.89139    0.00006     0.00005     0.00000     117.99128   23.43935    
-0.88882    0.00006     0.00005     0.00000     151.37207   21.29637    
-0.88204    0.00006     0.00005     0.00001     98.02903    24.58444    
-0.87800    0.00005     0.00005     0.00000     124.19401   16.39768    
-0.87727    0.00005     0.00005     0.00000     138.38906   14.36735    
-0.87434    0.00005     0.00005     0.00000     122.13707   24.07056    
-0.87104    0.00006     0.00005     0.00001     123.36713   28.83089    
-0.86792    0.00006     0.00006     0.00000     126.46022   25.47455    
-0.86517    0.00006     0.00005     0.00001     109.68782   29.93598    
-0.86095    0.00006     0.00005     0.00000     135.64207   26.29960    
-0.85802    0.00005     0.00005     0.00000     132.63724   23.32912    
-0.85472    0.00006     0.00005     0.00000     110.78201   22.19401    
-0.85215    0.00006     0.00005     0.00000     123.89453   20.90120    
-0.84628    0.00005     0.00005     0.00000     123.59172   21.51732    
-0.84317    0.00005     0.00005     0.00000     117.67675   16.25245    
-0.84023    0.00006     0.00005     0.00000     151.92961   14.46928    
-0.83400    0.00005     0.00005     0.00000     121.98232   24.49102    
-0.82923    0.00006     0.00005     0.00000     132.42205   22.94697    
-0.82538    0.00006     0.00005     0.00000     119.46555   17.86012    
-0.82062    0.00005     0.00005     0.00000     89.59382    22.32633    
-0.81897    0.00005     0.00005     0.00000     105.18638   21.82404    
-0.81493    0.00005     0.00005     0.00000     132.50328   17.70436    
-0.81181    0.00005     0.00005     0.00000     119.69029   23.79794    
-0.80760    0.00006     0.00005     0.00000     119.24472   26.87557    
-0.80466    0.00005     0.00005     0.00000     123.52006   15.55388    
-0.80026    0.00006     0.00005     0.00000     109.75331   23.41905    
-0.79696    0.00005     0.00005     0.00000     126.12247   9.33603     
-0.79330    0.00005     0.00005     0.00000     138.33278   20.37653    
-0.79128    0.00005     0.00005     0.00000     103.72368   13.15423    
-0.78798    0.00005     0.00005     0.00000     111.48556   20.30053    
-0.78670    0.00005     0.00005     0.00000     138.17090   11.05435    
-0.78339    0.00005     0.00005     0.00000     103.19491   23.77692    
-0.77991    0.00005     0.00005     0.00000     123.13965   26.06862    
-0.77184    0.00006     0.00006     0.00000     150.26262   26.70008    
-0.76744    0.00005     0.00004     0.00001     84.10639    26.82086    
-0.76488    0.00005     0.00005     0.00000     131.45705   14.52073    
-0.76176    0.00006     0.00005     0.00000     114.46727   21.79405    
-0.75846    0.00006     0.00005     0.00000     129.27403   29.30587    
-0.75553    0.00005     0.00005     0.00000     147.82696   15.25180    
-0.75277    0.00005     0.00005     0.00000     105.51641   19.67379    
-0.74966    0.00005     0.00005     0.00000     127.94250   20.59446    
